"Publishers","Journals"
"Departamentul de comunicare, jurnalism si stiinte ale educatiei",1
"Departamentul de matematica-informatica",1
"Department of Agricultural and Food Sciences",1
"Department of Anthropology",1
"Department of Anthropology",1
"Department of Art History, Curating and Visual Studies",1
"Department of Biology",1
"Department of Business Administration",1
"Department of Computer Science",1
"Department of Economic History",1
"Department of English",1
"Department of English",1
"Department of English",1
"Department of English Studies",1
"Department of Environmental Management",1
"Department of Foreign Languages",1
"Department of French and Italian",1
"Department of French and Italian",1
"Department of Geography",1
"Department of Government",1
"Department of International Communication",1
"Department of Italian",1
"Department of Leadership, Policy, Adult and Higher Education",1
"Department of Legal Studies",1
"Department of Library and Information Sciences",1
"Department of Linguistics",1
"Department of Mathematics",1
"Department of Mathematics",1
"Department of Mathematics",1
"Department of Mathematics",1
"Department of Mathematics",1
"Department of Mathematics",1
"Department of Mathematics",1
"Department of Philosophy",1
"Department of Portuguese and Brazilian Studies",1
"Department of Psychiatry and Behavioral Sciences",1
"Department of Scandinavian Studies",1
"Department of Social Sciences",1
"Department of Sociology",1
"Department of Sociology",1
"Department of Spanish Literature, Theory of Literature and Comparative Literature",1
"Department of Translation",1
"Deptartment of Philosophy",1
"Deptartmento de Literatura Española",1
"Deutsche Forschungsgemeinschaft (DFG)",1
"Deutsche Gesellschaft fu¨r Ana¨sthesiologie und Intensivmedizin (DGAI)",1
"Deutsche Gesellschaft für Materialkunde",1
"Deutsche Gesellschaft für Materialkunde eV (DGM)",1
"Deutsche Mineralogische Gesellschaft",1
"Deutsche Pharmazeutische Gesellschaft (DPhG)",1
"Deutsche Region der Internationalen Biometrischen Gesellschaft (IBS-DR)",1
"Deutschen Archäologischen Instituts (DAI)",1
"Deutscher Verband für Angewandte Geographie",1
"Deutsches Institut für Bautechnik",1
"Diagnosis Press",1
"Dickson Poon School of Law",1
"Didáctica Geográfica",1
"Dielectrics and Electrical Insulation Society",1
"Digital Curation Centre",1
"Digital Peer Publishing NRW (DiPP-NRW)",1
"Dipartimento di Discipline Umanistiche, Sociali e delle Imprese Culturali",1
"Dipartimento di Filosofia e Comunicazione",1
"Dipartimento di Lingue e Letterature Straniere Moderne",1
"Dipartimento di Mathematica",1
"Dipartimento di Scienze Giuridiche",1
"Dipartimento di Scienze Statistiche",1
"Dipartimento di Scienze per la Qualità della Vita",1
"Dipartimento di Sociologia e Diritto dell'Economia",1
"Dipartimento di Storia Culture Civiltà",1
"Dipartimento di Storia, Archeologia, Geografia, Arte e Spettacolo (SAGAS)",1
"Disputatio Editions",1
"Division 41: American Psychology-Law Society",1
"Division 44: Society for the Psychological Study of Lesbian, Gay, Bisexual, and Transgender Issues",1
"Division 53: Society of Clinical Child and Adolescent Psychology",1
"Division 54: Society of Pediatric Psychology",1
"Division 5: Society for Qualitative Inquiry in Psychology",1
"Division for Bar Services",1
"Division of Academics, Researchers and Teachers in Psychology",1
"Division of Chemical Education",1
"Division of Chemical Health and Safety",1
"Division of Clinical Psychology",1
"Division of Counselling Psychology",1
"Division of Educational &amp; Child Psychology",1
"Division of Forensic Psychology",1
"Division of Health Psychology",1
"Division of Neuropsychology",1
"Division of Occupational Psychology",1
"Division of Physics and Astronomy",1
"Division of Sociology, Social Work, Social Policy",1
"Division of Sport and Exercise Psychology",1
"Divison of Environmental Geosciences",1
"Dis Hekimligi Fakültesi",1
"Djokosoetono Research Center",1
"Doctoral School",1
"Documenta Mathematica",1
"Down Syndrome Education International",1
"Dogus Üniversitesi",1
"Dr Abha Foundation",1
"Drustvo ekonomista 'Ekonomika' (Society of Economists 'Ekonomika')",1
"Durham University",1
"Dynamic Systems and Control Division",1
"Département des Sciences de l'Antiquité",1
"E-Researchco",1
"EDMETIC",1
"EDUCAUSE",1
"EDUCOM (Associação Portuguesa de Telemática Educativa)",1
"ELTE Magyar Nyelvtudományi és Finnugor Intézet (ELTE University, Department of Hungarian Linguistics and Finno-Ugric Studies)",1
"EMAJ",1
"ENAG Editions",1
"EPL Association",1
"EPP Publications",1
"ESeC",1
"EU European Publishing",1
"EXARC",1
"Early Medieval China Group",1
"Early Modern Literary Studies",1
"Earthquake Engineering Research Institute",1
"East Asian Institute",1
"Eastern and Western Association Liver Tumors",1
"Ecole Nationale Vétérinaire de Toulouse",1
"Ecological Society of Japan",1
"Ecological Society of Korea",1
"Economic Issues Education Trust",1
"Economic Theory Department",1
"Economic and Financial Publishing",1
"Economics",1
"Economics Bulletin",1
"Economists for Peace and Security (UK)",1
"Edistyksellinen tiedeliitto ry",1
"Editions IARSIC",1
"Editions des Archives Contemporaines",1
"Editions de la Maison des Sciences de l'Homme",1
"Editora UFMS",1
"Editorial Delirio",1
"Editorial Franciscana",1
"Editura Academiei Romane",1
"Editura Economica",1
"Editura Fundatiei Romania de Maine",1
"Editura Universitatii de Nord Baia Mare",1
"Edizioni Università di Cassino",1
"Edizioni Università di Macerata",1
"Edição própria",1
"Edições IPAM",1
"Edmund A. Walsh School of Foreign Service",1
"Education Society",1
"Education Technologias de la Infromacion y la Comunicacion",1
"Education and Upbringing Publishing",1
"Educational Technology Publications",1
"Educational and Research Institute 'Economic Cybernetics'",1
"Egede Instituttet",1
"Egészségügyi Kar",1
"Ehquidad",1
"Eighteenth-Century Scottish Studies Society (ECSSS)",1
"Ekonomiaz",1
"Ekonomski fakultet",1
"Elections, Public Opinion, and Voting Behavior Section",1
"Electronic Device Failure Analysis Society (EDFAS)",1
"Electronic Journal of Analytical Philosophy",1
"Electronic Journal of Combinatorics",1
"Electronic Research Journal of Engineering, Computer and Applied Sciences",1
"Electronic Research Journal of Literature",1
"Electronic Research Journal of Social Sciences and Humanities",1
"Electronics and Telecommunications Research Institute (ETRI)",1
"Elektroniczna BIBlioteka (EBIB Association)",1
"Elektrotehnicki Fakultet",1
"Elsevier Public Safety",1
"Emine",1
"EmásF",1
"Engineering Design Graphics Division",1
"Engineering Economy division",1
"Engineering Integrity Society",1
"Engineering Technology Division",1
"Engineering, Technology and Applied Science Research (ETASR)",1
"English Department",1
"English Language Teaching Unit",1
"Entomological Society of Canada (La Société D'Entomologie du Canada)",1
"Entomological Society of Japan",1
"Episteme Health",1
"Epistemics in Science, Engineering and Technology (ESET)",1
"Erdkunde",1
"Escola Nacional de Saúde Pública",1
"Escola Superior Agrária",1
"Escola Superior de Artes Aplicadas",1
"Escola Superior de Artes e Design",1
"Escola Superior de Comunicacão Social",1
"Escola Superior de Educação",1
"Escola Superior de Educação",1
"Escola Superior de Educação",1
"Escola Superior de Educação de Paula Frassinetti (ESEPF)",1
"Escola Superior de Gestão",1
"Escola Superior de Propaganda e Marketing (ESPM)",1
"Escola Superior de Saúde da Cruz Vermelha Portuguesa",1
"Escola Superior de Tecnologia da Saúde de Lisboa",1
"Escola das Ciências Humanas e Sociais",1
"Escola de Engenharia",1
"Escuela de Estudios Hispano-Americanos de Sevilla",1
"Escuela de Historia",1
"Escuela de Postgrados de la Fuerza Aérea",1
"Eskisehir Osmangazi University",1
"Estudos Culturais",1
"Eternal Publication",1
"Ethnobotany Research and Applications",1
"Eugen Ulmer KG",1
"Eurochem Publishing",1
"Eurooppalaisen filosofian seura",1
"European Association for Aquatic Mammals",1
"European Association of Fish Pathologists",1
"European Association of Psychological Assessment",1
"European Association of Remote Sensing Laboratories (EARSeL)",1
"European Association of Science Editors",1
"European Business School Zagreb",1
"European Centre for Disease Prevention and Control",1
"European Federation of Adapted Physical Activity",1
"European Journal of Entomology",1
"European Marketing Academy",1
"European Medical Writers Association",1
"European Microwave Association (EuMA)",1
"European Mineralogial Union",1
"European Organisation for Caries Research",1
"European Ornithologists Union",1
"European Orthopaedic Research Society (EORS)",1
"European Polymer Federation",1
"European Regional Science Association (ERSA)",1
"European Royal Society",1
"European Society for Paediatric Nephrology",1
"European Thyroid Association",1
"Everscience Publications",1
"Evolutionary Ecology",1
"Excogitation and Innovation Laboratory",1
"Exercise Fitness and Health Alliance",1
"Eötvös Loránd Tudományegyetem, Állatrendszertani és Ökológiai Tanszék",1
"eLife Sciences Publications",1
"eRittenhouse",1
"ecancer Global Foundation",1
"FINFAR",1
"FRACISOMED-LV (Fraternidad Académica-Científica-Social Médica Luz y Vida)",1
"Faculdade Cenecista da Ilha do Governador (FACIG)",1
"Faculdade de Ciências Sociais",1
"Faculdade de Ciências Sociais e Humanas",1
"Faculdade de Ciências do Desporto e Educação Física",1
"Faculdade de Economia",1
"Faculdade de Educação",1
"Faculdade de Educação",1
"Faculdade de Educação Física e Desporto",1
"Faculdade de Medicina",1
"Faculdade de Psicologia e de Ciências da Educação",1
"Facultad de Agronomía",1
"Facultad de Biologia",1
"Facultad de Ciencias Biológicas",1
"Facultad de Ciencias Jurídicas y Políticas",1
"Facultad de Ciencias Políticas y Sociales",1
"Facultad de Ciencias de la Información",1
"Facultad de Ciencias de la Salud",1
"Facultad de Derecho",1
"Facultad de Derecho, Universidad Austral",1
"Facultad de Educación",1
"Facultad de Filosofía y Humanidades",1
"Facultad de Geografía e Historia",1
"Facultad de Geografía e Historia",1
"Facultad de Humanidades y Ciencias Sociales",1
"Facultad de Ingeniería",1
"Facultad de Ingeniería Mecánica",1
"Facultad de Letras y Ciencias Humanas",1
"Facultad de Odontologia",1
"Facultad de ciencias de la Educacion",1
"Facultatea de Stiinte Politice",1
"Faculty for Children, Young People &amp; their Families",1
"Faculty for People with Intellectual Disabilities",1
"Faculty for the Psychology of Older People",1
"Faculty of Agriculture",1
"Faculty of Agrobiology and Food Resources",1
"Faculty of Arts",1
"Faculty of Arts and Social Sciences",1
"Faculty of Biology",1
"Faculty of Biotechnology and Food Sciences",1
"Faculty of Computers and Information",1
"Faculty of Economics",1
"Faculty of Economics",1
"Faculty of Economics",1
"Faculty of Economics and Political Science",1
"Faculty of Education",1
"Faculty of Education",1
"Faculty of Education",1
"Faculty of Engineering",1
"Faculty of Engineering",1
"Faculty of Engineering",1
"Faculty of Geography",1
"Faculty of Health and Life Sciences",1
"Faculty of Law",1
"Faculty of Law",1
"Faculty of Law",1
"Faculty of Materials Science and Technology",1
"Faculty of Mechanical Engineering",1
"Faculty of Mechanical Engineering",1
"Faculty of Medical Sciences",1
"Faculty of Medicine",1
"Faculty of Medicine",1
"Faculty of Medicine",1
"Faculty of Medicine Osijek University Josip Juraj Strossmayer Osijek",1
"Faculty of Occupational Medicine",1
"Faculty of Pharmacy",1
"Faculty of Physical Culture",1
"Faculty of Physical Education and Sport in Biala Podlaska",1
"Faculty of Psychology",1
"Faculty of Public Health",1
"Faculty of Science",1
"Faculty of Sexual and Reproductive Healthcare",1
"Faculty of Technics and Technologies",1
"Faculty of Theology",1
"Faculty of Theology",1
"Faculty of Tourism and Hospitality Management",1
"Faculty of Veterinary Medicine",1
"Faculté de Médecine Vétérinaire",1
"Facutad de Arquitectura, Urbanismo y Diseno",1
"Fakulta Socialnich Ved",1
"Fakultas Hukum",1
"Fakultas Ilmu Komputer",1
"Fakultas Ilmu Komputer",1
"Fakultas Kedokteran",1
"Fakultas Psikologi",1
"Fakultas Teknologi Industri, Prodi Teknik Kimia",1
"Fakultas Teknologi Informasi dan Komunikasi",1
"Fakultet Zdravstvenih Studija",1
"Fakultet strojarstva i brodogradnje",1
"Fakulteti i Filologjisë dhe i Edukimit",1
"Faulty of Economics",1
"Federal University of Juiz de Fora",1
"Federation of American Society of Experimental Biology (FASEB)",1
"Feminist Studies",1
"Ferrata Storti Foundation",1
"Ferrater Mora Oxford Centre for Animal Ethics",1
"Fidelity and Surety Law Committee",1
"Field Naturalists Club of Victoria",1
"Filosofskiy fakul'tet",1
"Finance and Society",1
"Finnish Mycological Society (Suomen Sieniseura)",1
"Finnish Psychiatric Association",1
"Finnish Urological Society",1
"Fisheries Society of the British Isles",1
"Fiskeri- og Søfartsmuseet, Saltvandsakvariet Esbjerg",1
"Fjell-forsk-nett",1
"Flinders University",1
"Florida Entomological Society",1
"Florida Historical Society",1
"Florida International University",1
"Florida State University",1
"Foreign Language Publications and Services",1
"Foreningen bag udgivelsen af Dansk Pædagogisk Tidsskrift",1
"Forest Books",1
"Formifarma",1
"Formosan Medical Association",1
"Forum Committee on the Construction Industry",1
"Forum Kunst und Markt",1
"Forum on Affordable Housing and Community Development Law",1
"Forum on Air and Space Law",1
"Forum on Communications Law",1
"Forum on Franchising",1
"Forum on the Entertainment and Sports Industries",1
"Foundation Pro Scientia Publica",1
"Foundation for Rehabilitation Information",1
"Foundation for Student Science and Technology",1
"Foundation of Computer Science",1
"Foundation of Nursing Studies (FONS)",1
"Franciszek Górski Institute of Plant Physiology",1
"Free Mind Publishing",1
"French Society for Vascular Surgery",1
"French Society of Intensive Care (SRLF)",1
"French Society of Plant Biology",1
"French Société de Chimie Thérapeutique",1
"Frontiers in Bioscience",1
"Fund for the Replacement of Animals in Medical Experiments (FRAME)",1
"Fundación MenteClara",1
"Fundación iS+D para la Investigación Social Avanzada",1
"Fundação Eng. António de Almeida",1
"Fundação de Filosofia, Ciências e Letras de Mandaguari",1
"Future Energy Service and Publishing",1
"Future Science",1
"fEDOA",1
"GEOTIC (GEOlogia e Tecnologias da Informação e Comunicação)",1
"GESDAV (Foundation for Education, Health, Social Cooperation and Solidairty of the People of the Gulhane)",1
"GRIAS (Group for Research on Interdisciplinary Applied Sciences)",1
"Gabinete de Estudos a&amp;b",1
"Gabinete de Investigação e Acção Social",1
"Gazdaságtudományi Kar",1
"Gazeta de Antropologia",1
"Gembloux Agro-Bio Tech",1
"General Practice, Solo and Small Firm Division",1
"Genetics Society of China",1
"Geneva Institute for Democracy and Development",1
"GeoScienceWorld",1
"Geochemistry Division",1
"Geodynamics Research International Bulletin",1
"Geographical Society of Ireland",1
"Geographical Society of New South Wales",1
"Geological Society of China",1
"Geological Society of Finland",1
"Geological Society of Japan",1
"Geological Survey of Denmark and Greenland",1
"Geophysical Institute",1
"Geozon Science Media",1
"German Historical Institute",1
"German Institute for Japanese Studies Tokyo",1
"Gesellschaft für Information",1
"Gesellschaft für Regionalforschung",1
"Gesellschaft für Wissenschaftsgeschichte",1
"Ghent University",1
"Gigabyte Journal",1
"Glasgow Mathematical Journal Trust",1
"Global Academic Nursing",1
"Global Journal of Environmental Science and Management",1
"Global Journal of Research on Medicinal Plants and Indigenous Medicine",1
"Global Scientific Publications",1
"Global Society of Scientific Research and Researchers",1
"Glorigin LifeSciences",1
"Gonzaga Library Publishing",1
"Graziado School of Business and Management",1
"Green Lines Institute for Sustainable Development",1
"Green World Journal",1
"Grodno Sate Medical University",1
"Group of Companies Med Expert, LLC",1
"Groupe de recherches et d'études sur le livre au Québec",1
"Grupo Complutense de Investigación en Didáctica de las Matemáticas",1
"Grupo Comunicar",1
"Grupo Docentes 2.0 C.A.",1
"Grupo de Estudios de Relaciones Internacionales",1
"Grupo de Estudios sobra lo Fantastico",1
"Grupo de Investigación ""Innovación Curricular en Contextos Multiculturales""",1
"Grupo de Investigación Análisis de la Recepción de las Pantallas Audiovisuales",1
"Grupo de Investigación Ética, política y derechos humanos en la sociedad tecnológica",1
"Grupo de Pesquisa em Teoria Crítica e Hermenêutica (GPTEcH)",1
"Grupo de investigación Comunicación y Públicos Específicos",1
"Grupo de investigación methaodos.org",1
"Gruppo Entomologico Toscano",1
"Gruppo Interdisciplinare di Storia delle Idee",1
"Gulf PetroLink",1
"Gwerddon",1
"Gypsy Lore Society",1
"H.Skovoroda Institute of Philosophy of the NAS of Ukraine",1
"HAU Society for Ethnographic Theory",1
"Hansard Society",1
"Harvard University",1
"Harvard University Press",1
"Health Law Section",1
"Health Libraries Group",1
"Hegeler Institute",1
"Heilpädagogik online",1
"Hellenic Centre for Marine Research",1
"Hidrobiológiai Tanszék",1
"Higher Education Evaluation and Accreditation Council of Taiwan",1
"Histochemical Society",1
"Historiallis-yhteiskuntatiedollisen kasvatuksen tutkimus- ja kehittämiskeskus",1
"Hong Kong Association of Sports Medicine and Sports Science (HKASMSS)",1
"Hong Kong College of Orthopaedic Surgeons",1
"Hong Kong Economic Association",1
"Hong Kong Institute of Educational Research",1
"Hong Kong Institute of Modern Chinese History",1
"Hong Kong Institute of Steel Construction",1
"Hong Kong Public Administration Association",1
"Horizon Publisher India (HPI)",1
"Hospital de Clínicas de Itajuba",1
"Howard League for Penal Reform",1
"Hrvatski Institut za Povijest",1
"Hrvatski geološki institut",1
"Humboldt in the Net",1
"Hungarian Academy of Sciences",1
"Hungarian Academy of Sciences, Social Science Research Center, Institute of Sociology",1
"Hungarian Psychological Association",1
"Hungarian Scientific Society of Surgeons",1
"Hungarian Society of Archaeology and Art History",1
"Hungarian Society of Oncologists",1
"Hygeia Press di Corridori Marinella",1
"Hämeen ammattikorkeakoulu (Häme University of Applied Sciences)",1
"https://www.al-kindipublishers.com/",1
"IDJRA Group",1
"IJCSI Press",1
"IJECM Pub UK",1
"IJMESS International Publishers",1
"IJPHY Publisher",1
"IJSER Publications",1
"IKER (Centre de recherche sur la langue et les textes basques)",1
"ILIRIA College",1
"INFONIA Alapítvány",1
"IRSA Publishing House",1
"ISA Press",1
"ISEKI Food Association (IFA)",1
"Iberoamerican Journal of Medicine",1
"Iceland Urological Society",1
"Icelandic Psychiatric Association",1
"Ichthyological Society of Japan",1
"Il Denaro Group",1
"Imaging Science Group",1
"Immigrant Institutet",1
"Immobilien und Facility Management",1
"In the Library with the Lead Pipe",1
"Independent Journal of Management and Production",1
"Indian Association of Cardiovascular Thoracic Anaesthesiologists",1
"Indian Dental Association, Jammu and Kashmir Branch",1
"Indian Journal of Stomatology",1
"Indian Pharmaceutical Association",1
"Indiana Library Federation",1
"Indiana University Mathematics Journal",1
"Individual Entrepreneur Kockkeshev Yu. K",1
"Indo-Pacific Journal of Phenomenology",1
"Industrial Electronics Society",1
"Industrial Engineering Department",1
"Industrial Marketing and Purchasing Group",1
"Industrial and Labor Relations Review",1
"Industry Applications Society",1
"Informaatiotutkimuksen yhdistys - ITY ry",1
"Informador Técnico",1
"Information History Group",1
"Information Literacy Group",1
"Information Research",1
"Informationsvidenskabelige Akademi",1
"Inovacao Empresarial e do Trabalho",1
"Insect Biodiversity Research Group",1
"Institución Universitaria Pascual Bravo",1
"Institut Botànic de Barcelona",1
"Institut Ilmu Kesehatan STRADA Indonesia",1
"Institut Marocain de l'Information Scientifique et Technique (IMIST)",1
"Institut Monumenta Serica",1
"Institut National d'Histoire de l'Art",1
"Institut National de la Statistique et des Etudes Economiques (INSEE)",1
"Institut d'Estadística de Catalunya (IDESCAT)",1
"Institut de Ciències de l'Educació",1
"Institut de Hautes Etudes Internationales et du Developpement (Graduate Institute of International and Development Studies)",1
"Institut for Design og Kommunikation",1
"Institut for Uddannelse of Pædagogik",1
"Institut für Bauingenieurwesen",1
"Institut für Energie- und Automatisierungstechnik",1
"Institut für Qualitative Forschung",1
"Institut für Softwaretechnik und Theoretische Informatik",1
"Institut für Sprache und Kommunikation",1
"Institut für Werkstoffwissenschaften und -technologien",1
"Institut za Filozofiju i Drustvenu Teoriju Beograd (Institute for Philosophy and Social Theory)",1
"Institut za Humanu Rehabilitaciju",1
"Institute Nacionale de Consumo",1
"Institute for Education Policy Studies",1
"Institute for Ethnographic Research",1
"Institute for European, Russian and Eurasian Studies",1
"Institute for Hate Studies",1
"Institute for Jewish Studies",1
"Institute for Nuclear Security",1
"Institute for Promoting Research &amp; Policy Development",1
"Institute for Psychology",1
"Institute for Research and Community",1
"Institute for Research and European Studies - Bitola",1
"Institute for Research in Social Communication",1
"Institute for Slavic Studies",1
"Institute of Accounting and Finance",1
"Institute of Acoustics",1
"Institute of Applied Statistics",1
"Institute of Archaeologists of Ireland",1
"Institute of Archaeology",1
"Institute of Archaeology",1
"Institute of Arctic and Alpine Research",1
"Institute of Biomedical Chemistry",1
"Institute of Botany",1
"Institute of Chinese Studies (???????????????)",1
"Institute of Economic Forecasting",1
"Institute of Ecumenical Theology, Eastern Orthodoxy and Patristic Studies",1
"Institute of Entomology",1
"Institute of Environmental Engineering",1
"Institute of Experimental Pharmacology",1
"Institute of Fisheries of the National Academy of Agrarian Sciences",1
"Institute of Foresters of Australia",1
"Institute of French Studies",1
"Institute of Fundamental Technological",1
"Institute of Geography",1
"Institute of Geology and Geophysics",1
"Institute of Geophysics",1
"Institute of Historical Research",1
"Institute of Hydro-Engineering",1
"Institute of Information and Communication Technologies",1
"Institute of Linguistics",1
"Institute of Materia Medica",1
"Institute of Mathematics",1
"Institute of Mathematics",1
"Institute of Mechanics",1
"Institute of Metallurgy and Materials Science",1
"Institute of Microbiology",1
"Institute of Mind and Behavior",1
"Institute of Molecular Biology",1
"Institute of Oncology Ljubljana",1
"Institute of Parasitology",1
"Institute of Plant Protection - National Research Institute",1
"Institute of Psychiatry",1
"Institute of Security, Defence and Peace",1
"Institute of Slavonic Studies",1
"Institute of Sociology",1
"Institute of Special Education and Rehabilitation",1
"Institute of Statistical Science",1
"Institute of Strategic and Political Affairs",1
"Institute of World Economics and Politics",1
"Institute of the Czech Language",1
"Institute of the History of Medicine",1
"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte",1
"Instituto Federal do Amapá (Ifap)",1
"Instituto Nacional de Estadística y Censos",1
"Instituto Nacional de Estatística",1
"Instituto Nacional de Recursos Biológicos, Instituto Nacional de Investigação Agrária",1
"Instituto Pirenaico de Ecología",1
"Instituto Politécnico da Guarda",1
"Instituto Politécnico de Santarém",1
"Instituto Português de Relações Internacionais",1
"Instituto Português do Sangue",1
"Instituto Superior de Ciências Sociais e Políticas",1
"Instituto Superior de Ciências de Educação Superior do Huambo",1
"Instituto Superior de Contabilidade e Administração do Porto",1
"Instituto Superior de Estudios Sociales",1
"Instituto Superior de Formación Docente Salomé Ureña",1
"Instituto Superior del Profesorado N°3 ""Eduardo Lafferriere""",1
"Instituto Teologico de Caceres",1
"Instituto Universitario La Corte en Europa",1
"Instituto Universitario de Investigación Inudi Perú",1
"Instituto Universitario de la Paz (UNIPAZ)",1
"Instituto Universitário de Lisboa",1
"Instituto da Defesa Nacional",1
"Instituto da Droga e da Toxicodependência",1
"Instituto de Altos Estudios Nacionales",1
"Instituto de Arqueologia",1
"Instituto de Ciencias Sociales y Administración",1
"Instituto de Ciencias de la Familia",1
"Instituto de Ciéncies del Mar de Barcelona",1
"Instituto de Ciências Sociais",1
"Instituto de Ciências da Saúde",1
"Instituto de Cultura Jurídica y Maestría en Sociología Jurídica",1
"Instituto de Economía, Geografía y Demografía",1
"Instituto de Estudios Avanzados",1
"Instituto de Estudios Documentales sobre Ciencia y Tecnología",1
"Instituto de Estudios Gallegos Padre Sarmiento",1
"Instituto de Estudios Sociales Avanzados de Andalucía",1
"Instituto de Estudos Medievais (IEM)",1
"Instituto de Estudos de Literatura e Tradição",1
"Instituto de Filosofia",1
"Instituto de Filosofia da NOVA",1
"Instituto de Filosofía",1
"Instituto de Física de Líquidos y Sistemas Biológicos (IFLYSIB)",1
"Instituto de Geociências",1
"Instituto de Geociências e Ciências Exatas",1
"Instituto de Gestão e das Organizações da Saúde",1
"Instituto de Higiene e Medicina Tropical",1
"Instituto de História Contemporânea",1
"Instituto de História Económica e Social",1
"Instituto de Inmunología Clínica",1
"Instituto de Investigaciones Gino Germani",1
"Instituto de Investigaciones Marinas y Costeras (INVEMAR)",1
"Instituto de Investigaciones de Sanidad Vegetal",1
"Instituto de Língua Portuguesa do Liceu Literário Portuguê",1
"Instituto de la Grasa",1
"Instituto de la Vivienda",1
"Institutt for Fremmedspraak",1
"Institutt for Informasjons- og Medievitenskap",1
"Institutt for arkeologi, konservering og historie",1
"Institutt for kulturstudier og orientalske språk",1
"Institutul National de Cercetare-Dezvoltare in Constructii, Urbanism si Dezvoltare Teritoriala Durabila  (URBAN-INCERC)",1
"Institutul de Chimie",1
"Instrumentation and Measurement Society",1
"Instytut Paleobiologii",1
"Instytut Podstaw Informatyki",1
"Integration of Latin America Graduate Program (PROLAM/USP)",1
"Intelligent Transportation Systems Council",1
"Interdisziplinäre Veröffentlichungen",1
"Internatational Archives of Integrated Medicine",1
"International Academy of Theoretical and Applied Sciences",1
"International Association for Hungarian Studies",1
"International Association for Landscape Ecology, Region Deutschland",1
"International Association for Research in L1 Education (ARLE)",1
"International Association for Statistics Education (IASE)",1
"International Association of Academicians, Scholars, Scientists &amp; Engineers (IAASSE)",1
"International Association of Dental Researchers and Practitioners",1
"International Association of Genocide Scholars",1
"International Association of Music Libraries, Archives and Documentation Centres (UK &amp; Irl)",1
"International Atomic Energy Agency (IAEA)",1
"International Biometrics Society",1
"International Center for Tropical Agriculture (CIAT)",1
"International Center of Mental Health Policy and Economics",1
"International Centre for Eye Health",1
"International Centre for Sustainable Development of Energy, Water and Environment Systems",1
"International Centre for Transactional Analysis Qualifications - Community Interest Company",1
"International Centre of Informatics Research",1
"International Committee on Systematics of Prokaryotes",1
"International Computer Games Association",1
"International Council for Open and Distance Education (ICDE)",1
"International Energy and Environment Foundation",1
"International Federation for Heat Treatment and Surface Engineering (IFHTSE)",1
"International Forum of Educational Technology and Society",1
"International Geographical Union, Tourism Commission",1
"International Gothic Association",1
"International Heart Journal Association",1
"International Institute for Religious Freedom",1
"International Institute for the Science of Sintering",1
"International Journal for Pharmaceutical Research Scholars (IJPRS)",1
"International Journal of Chemical and Petroleum Sciences (IJCPS)",1
"International Journal of Crime Justice and Social Democracy",1
"International Journal of Cyber Criminology",1
"International Journal of Interdisciplinary and Multidisciplinary Studies",1
"International Journal of Management, Accounting and Economics",1
"International Journal of Medical Science Research and Practice",1
"International Journal of Microbiology and Allied Sciences (IJOMAS)",1
"International Journal of Multicultural and Multireligious Understanding",1
"International Journal of Scientific Footprints",1
"International Journal of Trend in Scientific Research and Development",1
"International Journal of the Creative Arts in Interdisciplinary Practice",1
"International Journal of ?i?ek Studies",1
"International Long Term Care Policy Network",1
"International Medical Press",1
"International Mountain Society (IMS)",1
"International Phycological Society",1
"International Pragmatics Association (IPrA)",1
"International Reading Association",1
"International Research: Journal of Library and Information",1
"International Retrovirology Association",1
"International Section",1
"International Shari'ah Research Academy for Islamic Finance",1
"International Society for Bayesian Analysis (ISBA)",1
"International Society for Cellular Therapy",1
"International Society for Chinese Medicine",1
"International Society for Human and Animal Mycology",1
"International Society for Stereology",1
"International Society for the Advancement of Spine Surgery (ISASS)",1
"International Society for the Scholarship of Teaching and Learning (ISSOTL)",1
"International Society of Bassists",1
"International Society of Liquid Biopsy",1
"International Society of Multiphysics",1
"International Society of Nutrigenetics/Nutrigenomics",1
"International Trade Institute",1
"International Union of Microbiological Societies (IUMS)",1
"International Union of Pure and Applied Chemistry",1
"International Virtual Ophthalmic Research Center",1
"International Journal of Asian Education",1
"Internet Journal of Chemistry",1
"Interregional Institute for Spatial Development",1
"Inzenjersko Drustvo za koroziju",1
"Iranian Journal of Health, Safety and Environment",1
"Iranian Red Crescent Medical Journal",1
"Iranian Veterinary Surgery Association",1
"Irish Association for Applied Linguistics",1
"Irish Association of Internal Medicine (IAIM)",1
"Irish College of Paramedics",1
"Irish Endodontic Society",1
"Irish Historical Society",1
"Irish Learning Technology Association",1
"Irish Society for Gene and Cell Therapy (ISGCT)",1
"Irish Society of Chartered Physiotherapists",1
"Islamic Azad University, Najafabad Branch",1
"Islamic Azad University, Shahreza Branch",1
"Islamic Press",1
"Islamic Research and Training Institute",1
"Israel Chemical Society",1
"Istituto Italiano di Antropologia",1
"Istituto Superiore di Sanità",1
"Ital Publication",1
"Italian Competition Authority",1
"J.M. Dawson Institute of Church-State Studies",1
"JOMENAS Press",1
"JPR Solutions",1
"Jacob Rader Marcus Center of the American Jewish Archives",1
"Jacob and Libby Goodman Institute for the Study of Zionism and Israel",1
"Jacobs Verlag",1
"Jahan Elm Institute of Higher Education",1
"Japan Academy of Esthetic Dentistry",1
"Japan Academy of Labor and Management (JALM)",1
