"publisher","journals","reviews"
"Japan Atherosclerosis Society",1,"79"
"Medwave",1,"79"
"New Zealand Ecological Society",1,"79"
"Sociedad Espanola de Microbiologia",1,"79"
"Zhongguo Zhongxi Jiehe Zazhi",1,"79"
"Asociatia Geographia Technica",1,"78"
"Associação Brasileira de Hematologia e Hemoterapia",1,"78"
"Ayub Medical College",1,"78"
"Iranian Association of Pharmaceutical Scientists",1,"78"
"National Association for Healthcare Quality",1,"78"
"Polish Association of Social Psychology",1,"78"
"Society for Vector Ecology",1,"78"
"A and V Publication",1,"77"
"American Association of Neuroscience Nurses",1,"77"
"American Vacuum Society",1,"77"
"Black Sea Universities Network",1,"77"
"College of Family Physicians of Canada",1,"77"
"Product Development & Management Association",1,"77"
"University of Florida Institute of Food and Agricultural Sciences",1,"77"
"Council of Supply Chain Management Professionals",1,"76"
"Dental Investigations Society",1,"76"
"Horticulture and Forestry Society from Transylvania",1,"76"
"Institut za Lokalno Samoupravo in Javna Narocila Maribor",1,"76"
"Korean Radiological Society",1,"76"
"Korean Society of Med. Biochemistry and Mol. Biology",1,"76"
"Neotropical Ornithological Society",1,"76"
"Sociedade Portuguesa De Cardiologia",1,"76"
"The Japanese Stomatological Society",1,"76"
"Wayne State University",1,"76"
"Wydawnictwo Uniwersytetu Przyrodniczego w Poznaniu",1,"76"
"Forest Products Society",1,"75"
"Iranian Veterinary Surgery Association",1,"75"
"Scientifiia",1,"75"
"Undersea and Hyperbaric Medical Society",1,"75"
"Universitatsverlag Ulm GmbH",1,"75"
"African Development Bank (AFD)",1,"74"
"Surrey Beatty and Sons Pty Ltd",1,"74"
"Turkish Joint Diseases Foundation",1,"74"
"University of Tubingen",1,"74"
"Asia Pacific School of Economics and Management, The Australian National University",1,"73"
"Editions Technip",1,"73"
"EEEIC International Publishing",1,"73"
"International Association for the Study of the Commons",1,"73"
"Islamic Azad University, Shiraz Branch",1,"73"
"Poskie Towarzystwo Ginekologiczne/Polish Society of Gynaecology",1,"73"
"Power System Technology Press",1,"73"
"Administrative Sciences Association of Canada",1,"72"
"EEG and Clinical Neuroscience Society (ECNS)",1,"72"
"Engineering and Technology Publishing",1,"72"
"Faculty of Anaesthesia, Pain and Intensive Care, AFMS",1,"72"
"Faculty of Engineering, Chulalongkorn University",1,"72"
"Foundation of Computer Science",1,"72"
"Pakistan Botanical Society",1,"72"
"Procter & Gamble Co.",1,"72"
"Association of Rehabilitation Nurses",1,"71"
"Baskent University",1,"71"
"College of Physicians and Surgeons Pakistan",1,"71"
"Department of Applied Research, Institute of Mathematics of National Academy of Science of Ukraine",1,"71"
"Institut za Bioloska Istrazivanja",1,"71"
"National Association of Biology Teachers, Inc",1,"71"
"PLAPIQUI Planta Piloto de Ingenieria Quimica, CONICET / Universidad Nacional del Sur",1,"71"
"Societe de Pathologie Exotique",1,"71"
"Swedish Medical Association",1,"71"
"Willi Hennig Society",1,"71"
"Chinese Machine Press",1,"70"
"Editrice Kurtis s.r.l.",1,"70"
"Faculty of Sport, University of Ljubljana",1,"70"
"GMJ Medical Press",1,"70"
"Instituto Israelita de Ensino e Pesquisa Albert Einstein",1,"70"
"Sociedad Española de Cardiología",1,"70"
"Associacao de Psiquiatria do Rio Grande do Sul",1,"69"
"Departamento de de Enfermagem, Universidade Federal de Sao Paulo",1,"69"
"Department of English Studies of New Bulgarian University",1,"69"
"Egyptian Society of Neurology, Psychiatry, and Neurosurgery",1,"69"
"Instituto Biológico",1,"69"
"National Research Foundation",1,"69"
"NED University of Engineering and Technology",1,"69"
"Southeastern Surgical Congress",1,"69"
"Center for Academic Publications Japan",1,"68"
"Sociedade Brasileira de Otorrinolaringologia",1,"68"
"South Kazakhstan Medical Academy",1,"68"
"The Journal of Bone and Joint Surgery, Inc",1,"68"
"Verduci Editore",1,"68"
"Cancer Intelligence",1,"67"
"Chinese Research Institute of Construction Management",1,"67"
"ETRI",1,"67"
"European Society for Analytic Philosophy",1,"67"
"Indian Association of Biomedical Scientists",1,"67"
"International Journal of Physical Education, Fitness and Sports",1,"67"
"Sociedad Colombiana de Anestesiologia y Reanimacion SCARE",1,"67"
"Suranaree University of Technology (Institute of Research and Development)",1,"67"
"The Waterbird Society",1,"67"
"Asociacion Espanola de Micologia",1,"66"
"Associacao Brasileira de Estatistica",1,"66"
"BioOne",1,"66"
"Botanical Society of China",1,"66"
"Chinese Physiological Society",1,"66"
"Japanese Society for the Study of Xenobiotics",1,"66"
"Meise Botanic Garden",1,"66"
"Regional Association for Security and Crisis Management",1,"66"
"Research Institute for Medicinal Plants",1,"66"
"American Osteopathic Association",1,"65"
"Center for Latin American Studies at the University of Miami",1,"65"
"Food Reseach Institute",1,"65"
"Inst. Nat. Cercetare-Dezvoltare Text. Pielarie",1,"65"
"Les Presses Agronomiques de Gembloux",1,"65"
"Pós-Graduação em História, Universidade Federal de Minas Gerais",1,"65"
"Society for Applied Philosophy",1,"65"
"Society of Porphyrins and Phthalocyanines (SPP)",1,"65"
"Centro de Administração e Políticas Públicas",1,"64"
"Chang'an University",1,"64"
"Electrochemical Society of Japan",1,"64"
"Institute of Social Studies",1,"64"
"Japan Chemical Journal Forum",1,"64"
"Joe Bok Chung",1,"64"
"School of Mathematical Sciences",1,"64"
"Society of Economic Geologists",1,"64"
"Associacao Brasileira de Ceramica",1,"63"
"Escuela Universitaria de Magisterio",1,"63"
"Haight-Ashbury Publications",1,"63"
"Jamal Mohamed College",1,"63"
"Medical Association of Nippon Medical School",1,"63"
"Paramedics Australasia",1,"63"
"Pharmaceutical Society of Korea",1,"63"
"Rasim Özgür DÖNMEZ",1,"63"
"Sociedade Brasileira de Ciencia e Tecnologia de Alimentos, SBCTA",1,"63"
"Southern Economic Association",1,"63"
"Institut Catala d'Ornitologia",1,"62"
"National Environmental Health Association",1,"62"
"Technical Faculty in Bor",1,"62"
"Turkish Association of Nervous and Mental Health",1,"62"
"Turkish Association of Trauma and Emergency Surgery",1,"62"
"UQ Business School, The University of Queensland",1,"62"
"Foundation for Education Science and Technology",1,"61"
"Institute of Arctic and Alpine Research",1,"61"
"Institute of Machine Design and Operation",1,"61"
"International Society of Offshore and Polar Engineers",1,"61"
"Sociedade Portuguesa de Segurança e Higiene Ocupacionais  (SPOSHO)",1,"61"
"Society for Judgment and Decision Making",1,"61"
"European Society for the History of Science",1,"60"
"Indian Pacing and Electrophysiology Group",1,"60"
"Southwestern Social Science Association",1,"60"
"Torrey Botanical Society",1,"60"
"Universidad del B<U+FF83><U+FF6D>o-B<U+FF83><U+FF6D>o",1,"60"
"Austrian Society of Entomofaunistics",1,"59"
"Faculty of Hotel Management and Tourism",1,"59"
"Genetics Society of Japan",1,"59"
"Healthcare & Financial Pub.",1,"59"
"International Union of Geological Sciences",1,"59"
"Mosher and Linder, Inc",1,"59"
"Nihon University",1,"59"
"Savez Ekonomista Vojvodine",1,"59"
"Societe Entomologique",1,"59"
"The Palaeontological Association",1,"59"
"University of Zagreb, Facultty of Veterinary Medicine",1,"59"
"Australian Social Polocy Association",1,"58"
"Centro Brasileiro de Análise e Planejamento",1,"58"
"Chroma, Inc.",1,"58"
"Croatian Chemical Society",1,"58"
"Hittite Journal of Science and Engineering",1,"58"
"International Association of Geoanalysts",1,"58"
"Romanian Society of Control Engineering and Technical Informatics",1,"58"
"American Society of Brewing Chemists",1,"57"
"Analysis Committee",1,"57"
"Electrochemical Science Group",1,"57"
"Fundacion para el Avance de la Psicologia",1,"57"
"Gazi Entomological Research Society",1,"57"
"Geological Society of India",1,"57"
"Hong Kong Physiotherapy Association",1,"57"
"Indian Society of Gastroenterology",1,"57"
"Instituto Agronomico",1,"57"
"Korean Association of Geoscience Societies",1,"57"
"Maghira and Maas Publications",1,"57"
"PacCALL",1,"57"
"Van Zuiden Communications BV",1,"57"
"Yenisehir",1,"57"
"American School Health Association",1,"56"
"Association of Avian Veterinarians",1,"56"
"ETSEIAT",1,"56"
"HEC Press",1,"56"
"Inst. de Ciencias de la Construccion Eduardo Torroja",1,"56"
"Institute for Mathematical Research",1,"56"
"Poltekkes Kemenkes Kendari",1,"56"
"Society for Community Research and Action",1,"56"
"University of Hong Kong",1,"56"
"Unversity of Kurdistan",1,"56"
"Amirkabir University of Technology",1,"55"
"Cardiofront, Inc.",1,"55"
"Centre for Addiction and Mental Health",1,"55"
"Escuela de Ciencias de la Ingeniería y Tecnología, Universidad Autónoma de Baja California",1,"55"
"Hong Kong Economic Association",1,"55"
"National Center for Transit Research",1,"55"
"Statistical Society of Canada",1,"55"
"Universidad Autonoma Chapingo",1,"55"
"American Academy of Audiology",1,"54"
"Association for Public Policy and Management",1,"54"
"Australian  Association for Environmental Education",1,"54"
"Centro de Investigaciones Sociologicas",1,"54"
"Cereal Research Non-Profit Company",1,"54"
"Microbiology Research Foundation",1,"54"
"Tuberculosis Association of India",1,"54"
"University of Antwerp",1,"54"
"Water Alternatives Association",1,"54"
"Asian Association For Agricultural Engineering",1,"53"
"Commonwealth Forestry Association",1,"53"
"Editrice Compositori s.r.l.",1,"53"
"idd3",1,"53"
"ISSR",1,"53"
"Korean Institute of Electromagnetic Engineering and Science",1,"53"
"PHM Society",1,"53"
"Sociedade Brasileira de Oftalmologia",1,"53"
"The Coleopterists Society",1,"53"
"Women's Health and Action Research Centre",1,"53"
"Academy of Family Physicians of Malaysia",1,"52"
"Asian-Australasian Association of Animal Production Societies",1,"52"
"Canadian Economics Association/Association canadienne d'économique",1,"52"
"Centro Interamericano de Investigaciones Psicologicas y Ciencias Afines",1,"52"
"Eastern University, Education Department",1,"52"
"Global Nest",1,"52"
"Grupo Ars XXI de Comunicacion, S.L.",1,"52"
"Hungarian Natural History Museum",1,"52"
"Instituto de Economia, Universidade Estadual de Campinas",1,"52"
"Korean Academy of Asthma, Allergy and Clinical Immunology",1,"52"
"South African Academy of Family Practice - Primary Care",1,"52"
"American Association of Stratigraphic Palynologists",1,"51"
"Central Asian Journal of Medical Hypotheses and Ethics",1,"51"
"College of Education, Al-Iraqia University",1,"51"
"Consortium Publisher Canada",1,"51"
"Creative Education Foundation (CEF)",1,"51"
"Instituto Mexicano de Tecnologia del Agua",1,"51"
"Korean Physical Society",1,"51"
"Lietuvos Misku Institutas",1,"51"
"Panamjas",1,"51"
"Philosophy and Phenonmenological Research Inc",1,"51"
"Swiss Chemical Society",1,"51"
"Asociacion de Estudios Cooperativos (AECOOP)",1,"50"
"Assiut University",1,"50"
"Associação Brasileira de Psicologia Escolar e Educacional",1,"50"
"Centro de Estudos de Cultura Contemporânea",1,"50"
"Chinese Geoscience Union",1,"50"
"Clinical Biotec. Universidad Católica del Oriente (UCO), Universidad Yachay Tech, Centro de Biotecnología y Biomedicina",1,"50"
"ICR Publishers Ltd",1,"50"
"Institute of Health Promotion and Education",1,"50"
"Instituto de Estudios Fiscales",1,"50"
"International Society for Tropical Ecology",1,"50"
"Marshfield Clinic",1,"50"
"National Academy of Chemistry",1,"50"
"Polar Research Institute of China",1,"50"
"Pontificia Universidad Catolica de Chile, Escuela de Construccion Civil",1,"50"
"Programa de Pos-Graduação em Letras Neolatinas, Faculdade de Letras, Universidade Federal do Rio de Janeiro",1,"50"
"Secretaria Regional do Rio de Janeiro da Sociedade Brasileira de Quimica",1,"50"
"Seniko Studio Ltd.",1,"50"
"Societe de Biologie Cellulaire Francaise",1,"50"
"Southeast Asian Regional Centre for Tropical Biology (SEAMEO BIOTROP)",1,"50"
"Universidad de la Laguna",1,"50"
"Associated Publishers",1,"49"
"Durham University",1,"49"
"EPE Association",1,"49"
"Forest Research Institute Malaysia",1,"49"
"Gazi University Eti Mahallesi",1,"49"
"Grupo Paulista de Fitopatologia",1,"49"
"Instituto de Aeronautica e Espaco-IAE",1,"49"
"International Association for Research in Income and Wealth",1,"49"
"Japan Society of Physiological Anthropology",1,"49"
"Malaysian Society of Applied Biology",1,"49"
"New Zealand Veterinary Association",1,"49"
"Sociedad Quimica de Mexico A.C.",1,"49"
"Tempus Publications",1,"49"
"TIP ARASTIRMALARI DERNEGI",1,"49"
"ANPAD",1,"48"
"Asociacion Espanol Contabilidad Miniempresas",1,"48"
"Brazilian Association for Soil Mechanics and Geotechnical Engineering (Associação Brasileira de Mecânica dos Solos e Engenharia Geotécnica)",1,"48"
"Gerontological Society of America",1,"48"
"Iasi University of Life Science - IULS",1,"48"
"International Pragmatics Association",1,"48"
"Japanese Society of Breeding",1,"48"
"JCC Research Group",1,"48"
"Ministerio de Sanidad",1,"48"
"National Cancer Institute",1,"48"
"Neurotak Publishing",1,"48"
"SAREM Sociedad Argentina para el Estudio de los Mamiferos",1,"48"
"Swadesh Welfare Education Society",1,"48"
"University of Kansas",1,"48"
"Associação Brasileira de Psicologia Social",1,"47"
"College of Psychiatric and Neurologic Pharmacists",1,"47"
"Croatian Geological Survey",1,"47"
"Interciencia Association",1,"47"
"Maejo University",1,"47"
"Museu Paulista, Universidade de São Paulo",1,"47"
"Public Health Association of Australia Inc.",1,"47"
"RCVS Knowledge",1,"47"
"Surface Science Society of Japan",1,"47"
"University Centre of Maringa - CESUMAR",1,"47"
"ACCENTS",1,"46"
"American Foundry Society",1,"46"
"College of Engineering, Tikrit University",1,"46"
"Escola d'Administracio Publica de Catalunya",1,"46"
"Geochemical Society of Japan",1,"46"
"Gulhane Askeri Tip Akademisi",1,"46"
"Meditions Carline",1,"46"
"Polskie Towarzystwo Lekarskie, Oddzial Regionalny w Olsztynie, Okregowa Warminsko-Mazurska Izba Lekarska",1,"46"
"Social Science Press",1,"46"
"Terra Scientific Publishing Company",1,"46"
"US National Research Council",1,"46"
"American Council on Consumer Interests",1,"45"
"Asociación Colombiana de Infectologia",1,"45"
"Associacao Brasileira de Engenharia de Producao",1,"45"
"Associação Nacional dos Cursos de Graduação em Administração (ANGRAD)",1,"45"
"Economic Society of South Africa",1,"45"
"Edita Socidrogalcohol",1,"45"
"EdUFF",1,"45"
"Facultad de Psicologia",1,"45"
"Informatics Publishing",1,"45"
"Japan Laser Processing",1,"45"
"Jilin University",1,"45"
"J.Michael Ryan Publishing Inc.",1,"45"
"Korean College of Neuropsychopharmacology",1,"45"
"M Y U Scientific Publishing Division",1,"45"
"Scottish Economic Society",1,"45"
"UACES",1,"45"
"Associação Brasileira de Estudos Populacionais",1,"44"
"Eastern Academy of Management",1,"44"
"Finnish Surgical Society",1,"44"
"Institute of Agricultural Medicine",1,"44"
"Mahidol University (Faculty of Environment and Resource Studies)",1,"44"
"Malaysian Society of Pathologists",1,"44"
"MTT Agrifood Research Finland",1,"44"
"Science Reviews Ltd",1,"44"
"Sociedad Mexicana de Psicologia",1,"44"
"Society of Wood Science and Technology",1,"44"
"The Egyptial Pediatric Surgical Association",1,"44"
"The Royal New Zealand College of General Practitioners",1,"44"
"Turkish Ophthalmological Society",1,"44"
"Akademi Sains Malaysia",1,"43"
"Asociacion Iberoamericana de Diagnostico y Evaluacion",1,"43"
"Cognitive Science Society",1,"43"
"Faculty of Social Sciences Charles University",1,"43"
"Indonesian Heart Association",1,"43"
"Iniestares, S.A.",1,"43"
"International Centre of Research and Information on the Public and Cooperative Economy",1,"43"
"Journal of Philosophy, Inc.",1,"43"
"Middle East Fertility Society",1,"43"
"NKUA Applied Philosophy Research Laboratory",1,"43"
"Nofer Institute of Occupational Medicine",1,"43"
"Royal Botanical Society of Belgium",1,"43"
"South African Society for Enology and Viticulture",1,"43"
"South Pacific Underwater Medicine Society",1,"43"
"Taylor Graham Publishing",1,"43"
"University of Pennsylvania/Osaka University",1,"43"
"USFQ Press",1,"43"
"World Chinese Medicine Press",1,"43"
"AMAQUEN",1,"42"
"California Dental Association",1,"42"
"European Federation of Adapted Physical Activity",1,"42"
"Illuminating Engineering Society of North America",1,"42"
"Institut de Cirncies de l'Educacio de la Universitat Autonoma de Barcelona",1,"42"
"International Association for Identification",1,"42"
"Korean Association of Orthodontists",1,"42"
"Malaysian Rubber Board",1,"42"
"Power System Protection and Control Press",1,"42"
"Science Society of Thailand under Royal Patronage",1,"42"
"Sociedad Española de Farmacia Hospitalaria, SEFH",1,"42"
"Sociedad Revista de Psicologia del Deporte",1,"42"
"Societe Belge de Psychologie",1,"42"
"The Japan Society of Plasma Science and Nuclear Fusion Research (JSPF)",1,"42"
"Turkish Pharmacists  Association",1,"42"
"Asian Agricultural and Biological Engineering Association",1,"41"
"Center for Economic Integration, Sejong University",1,"41"
"Centre de Cooperation Internationale en Recherche Agronomique Pour le Developpement",1,"41"
"Centro de Ciencias de la Atmosfera, UNAM",1,"41"
"Gabler Verlag",1,"41"
"Geriatrics Society",1,"41"
"Institute of Biology",1,"41"
"Institute of Psychoanalysis",1,"41"
"Instituto Nacional de Cardiologia Ignazio Chavez",1,"41"
"Instytut Chemii Bioorganicznej PAN",1,"41"
"International Association for Landscape Ecology, Chapter Germany (IALE-D)",1,"41"
"International Society for Stereology",1,"41"
"Nepal Health Research Council",1,"41"
"OberCom - Observatorio da Comunicacao",1,"41"
"Okayama University",1,"41"
"Orthopterists' Society",1,"41"
"Societe Francaise d'Ichtyologie",1,"41"
"South African Institute of Computer Scientists and Information Technologists",1,"41"
"Canadian Academy of Child and Adolescent Psychiatry",1,"40"
"Chelonian Research Foundation",1,"40"
"Colorado State University",1,"40"
"Deakin University",1,"40"
"Facultad de Ciencias Economicas - Universidad de Alcala",1,"40"
"Forum Societa Editrice Universitaria Udinese srl",1,"40"
"Grupo Saned",1,"40"
"Indian Association for Child and Adolescent Mental Health",1,"40"
"Instituto de Ciencias Sociais da Universidade de Lisboa",1,"40"
"Locke Science Publishing Company Inc.",1,"40"
"New Zealand Geographical Society",1,"40"
"Programa de Pós-Graduação em Antropologia Social, Museu Nacional, Universidade Federal do Rio de Janeiro",1,"40"
"Regional Energy Resources Information Center (RERIC)",1,"40"
"School of Biology, Aristotle University of Thessaloniki",1,"40"
"Society of Polymer Science",1,"40"
"Turkish Neuropsychiatric Society",1,"40"
"Weed Science Society of Japan",1,"40"
"ArchNet",1,"39"
"Association for Cultural and Socio-Economic European Collaboration (ACCESS)",1,"39"
"Association of Physiologists and Pharmacologists of India",1,"39"
"China Anti-Cancer Association",1,"39"
"Japan Institute Of Energy",1,"39"
"Korean Breast Cancer Society",1,"39"
"""Marin Dracea"" National Research-Development Institute in Forestry",1,"39"
"Medicina Kiado RT",1,"39"
"Medquest Communications LLC",1,"39"
"Morgan Kaufmann Publishers, Inc.",1,"39"
"New Zealand Psychological Society",1,"39"
"Octagon Education Consultancy",1,"39"
"Sociedade Portuguesa de Electroquimica",1,"39"
"Societa Italiana di Reumatologia",1,"39"
"Universidad de Santiago de Chile",1,"39"
"University of Bamberg Press",1,"39"
"Allen Press & Particle Therapy Cooperative Group",1,"38"
"American Bar Foundation",1,"38"
"Association Développement durable et territoires",1,"38"
"Central Institute for Labour Protection",1,"38"
"Haworth Press Inc.",1,"38"
"Health Information Management Association of Australia",1,"38"
"Instytut Technologii Drewna",1,"38"
"International Association of Conflict Management",1,"38"
"Italian Association of Labour Economists (AIEL)",1,"38"
"Japan Society for Aeronautical and Space Sciences",1,"38"
"microPublication",1,"38"
"Northeastern Agricultural and Resource Economics Association",1,"38"
"Ohio State University Department of Economics",1,"38"
"Okanagan University College",1,"38"
"Queensland University of Technology",1,"38"
"RevistaMultidisciplinar",1,"38"
"Royal Zoological Society of New South Wales",1,"38"
"Societe Francaise de Cosmetologie",1,"38"
"Sri Lanka Medical Association",1,"38"
"University of Memphis",1,"38"
"Asian EFL Journal Press",1,"37"
"Asociacion Argentina de Microbiologia",1,"37"
"Australian Rangeland Society",1,"37"
"Chinese Society of Pavement Engineering",1,"37"
"Columbia Data Analytics",1,"37"
"Fondazione Salvatore Maugeri",1,"37"
"Helminthological Society of Washington",1,"37"
"International Centre For Diffraction Data",1,"37"
"Iran Solid Waste Association",1,"37"
"Istituto per lo Studio degli Ecosistemi",1,"37"
"Japanese Society for Neuroimmunology",1,"37"
"Japan Society for Cell Biology",1,"37"
"Korean Academy of Rehabilitation Medicine (KARM)",1,"37"
"NTC Publications Ltd.",1,"37"
"Officina de Bibliotecas y Divulgacion de la Jefatura de los Servicios de Ensenanza e Investigacion",1,"37"
"Programa de Pós-graduação em Teoria Psicanalítica, Instituto de Psicologia, Universidade Federal do Rio de Janeiro",1,"37"
"Samara State Technical University",1,"37"
"Society for Integrateive & Comparative Biology",1,"37"
"Southwestern Association of Naturalists",1,"37"
"University of Bucharest - Interdisciplinary Center for Advanced Research on Territorial Dynamics (CICADIT)",1,"37"
"African Speciality Group of the Association of American Geographers",1,"36"
"Baghiyatollah University of Medical Sciences, Military Medicine Research Institute",1,"36"
"Biomedical Engineering Society",1,"36"
"Brazilian Microwave and Optoelectronics Society",1,"36"
"Canadian Water Resources Association",1,"36"
"Colegio Brasileiro de Radiologia",1,"36"
"Electrical Engineering/Electronics, Computer, Communications and Information Technology Association (ECTI)",1,"36"
"Faculty of Medicine, Universiti Teknologi MARA",1,"36"
"Federation of Obstetric and Gynecologycal Societies of India",1,"36"
"Goeller Verlag GmbH",1,"36"
"Human Nature Review",1,"36"
"Indian Society of Agronomy",1,"36"
"Japanese Association for Coronary Artery Surgery",1,"36"
"Japan Medical Association",1,"36"
"Japan Mendel Society",1,"36"
"Lukasiewicz Research Network - Institute of Biopolymers and Chemical Fibres",1,"36"
"Mahidol University (ASEAN Institute for Health Development)",1,"36"
"National Center for State Courts",1,"36"
"National Medical Association",1,"36"
"Schluetersche GmbH und Co",1,"36"
"World Association for Laser Therapy",1,"36"
"American Society for Aesthetics",1,"35"
"American Society for Engineering Management",1,"35"
"American Spinal Injury Association",1,"35"
"Associacao Brasileira de Mecanica dos Solos",1,"35"
"Ball State University",1,"35"
"Center of Research and Psychological Intervention",1,"35"
"Conselho Federal de Medicina",1,"35"
"CSIRO",1,"35"
"Edam Egitim Danismanligi",1,"35"
"Fundacao Escola de Comercio Alvares Penteado",1,"35"
"Fundacao Getulio Vargas, Escola de Administracao de Empresas de Sao Paulo",1,"35"
"JG Press Inc.",1,"35"
"Kavala Institute of Technology",1,"35"
"Natural Areas Association",1,"35"
"N F E R Nelson Publishing Limited",1,"35"
"Romanian Society for Pharmaceutical Sciences",1,"35"
"Sao Paulo Pediatric Society",1,"35"
"Simon's Rock of Bard College",1,"35"
"Sociedade Brasileira de Floricultura e Plantas Ornamentais",1,"35"
"Sociedade Brasileira de História da Educação",1,"35"
"Technoscience Publications",1,"35"
"University Hospital Utrecht",1,"35"
"University North, Koprivnica/Varazdin, Croatia",1,"35"
"Wellcome Trust",1,"35"
"AITP-EDSIG",1,"34"
"Centro de Estudos de Venenos e Animais Peconhentos",1,"34"
"Institute of Chemical Technology",1,"34"
"International Association for Bear Research and Management",1,"34"
"Investment Analysts Society of Southern Africa",1,"34"
"Japan Society of Atmospheric Environment",1,"34"
"Jeff Corporation Co. Ltd",1,"34"
"National Academy of Sciences India",1,"34"
"Polish Histochemical and Cytochemical Society",1,"34"
"Sociedad Colombiana de Entomologia",1,"34"
"The Rand Corporation (RAND)",1,"34"
"The Society of Chemists and Techonogists of Macedonia",1,"34"
"UNESCO Publishing",1,"34"
"YektaWeb Company",1,"34"
"Association of the International Journal of Central Banking",1,"33"
"Canadian Society for Pharmaceutical Sciences",1,"33"
"Consortium of Multiple Sclerosis Centers (CMSC)",1,"33"
"German Economic Association (Verein für Socialpolitik)",1,"33"
"International Association of Wood Anatomists",1,"33"
"International University College",1,"33"
"International Wader Study Group",1,"33"
"Kansas Entomological Society",1,"33"
"Korean Endocrine Society",1,"33"
"Mahidol University (Institute for Population and Social Research)",1,"33"
"Medkrux",1,"33"
"Northeast Forestry University",1,"33"
"Obafemi Awolowo University",1,"33"
"Princeps Editions",1,"33"
"Public Financial Publications, Inc.",1,"33"
"Sahin Danisman",1,"33"
"Sociedade Brasileira de Zoologia",1,"33"
"Society for Women in Philosophy",1,"33"
"The Meteoritical Society (MET)",1,"33"
"The University of Zagreb Computing Centre (SRCE)",1,"33"
"University of the Philippines at Manila",1,"33"
"Association for Conflict Resolution (ACR)",1,"32"
"British Neuroscience Association",1,"32"
"Centro International de Estudios Superiores de Comunicacion para America Latina",1,"32"
"Channel View Publications",1,"32"
"Chulalongkorn University (Metallurgy and Materials Science Research Institute)",1,"32"
"Czech Phycological Society",1,"32"
"ESALQ Universidade de Sao Paolo",1,"32"
"Faculty Of Veterinary Science, University Of Agriculture",1,"32"
"Institute of Public Administration of Canada",1,"32"
"Instytut Zootechniki",1,"32"
"National Children's Bureau",1,"32"
"National Inquiry Services Centre Ltd",1,"32"
"Open Access Science Online",1,"32"
"Ain Shams University",1,"31"
"Bhopal, S.A. Iqbal",1,"31"
"Canadian Association of Geographers / l'Association canadienne des géographes",1,"31"
"Instituto de Ensino e Pesquisa Albert Einstein",1,"31"
"Instituto de Estudos da Religião",1,"31"
"Korean Academy of Periodontology",1,"31"
"Korean Neurological Association",1,"31"
"Mehran University of Engineering and Technology",1,"31"
"National Speleological Society Inc.",1,"31"
"Research Centre in Public Administration and Public Services",1,"31"
"Scientific Methodical Center",1,"31"
"Sex Information and Education Council of Canada (SIECCAN)",1,"31"
"STKIP PGRI Situbondo",1,"31"
"The London Academy of Science and Business",1,"31"
"Widener University School of Civil Engineering",1,"31"
"ANI Publishing",1,"30"
"Atha Editora",1,"30"
"British Menopause Society",1,"30"
"Department of Hydrobiology,Universidad Autonoma Metropolitana-Unidad Iztapalapa",1,"30"
"Department of Sociology at the Adam Mickiewicz University in Poznan",1,"30"
"Headley Brothers Ltd",1,"30"
"Institute of Technology and Production Management University of J.E. Purkyne",1,"30"
"Instituto Superior de Ciencias do Trabalho e da Empresa",1,"30"
"International Bee Research Association",1,"30"
"International Journal of Economics, Business and Management Research",1,"30"
"Iranian Mathematical Society",1,"30"
"Jack H. Berryman Institute",1,"30"
"Japanese Association of Educational Psychology",1,"30"
"Kocaeli Derince Training and Research Hospital",1,"30"
"Koninklijke Belgische Vereniging voor ORL Gelaat en Halschirugie",1,"30"
"Korean Society of Otolaryngology",1,"30"
"Max Kasparek Verlag",1,"30"
"Pharmacognosy Network Worldwide",1,"30"
"Sycamore Global Publications",1,"30"
"Thomas A. Lyson Center for Civic Agriculture and Food Systems",1,"30"
"Acta Medica Belgica",1,"29"
"Association for Fire Ecology",1,"29"
"Association for Politics and the Life Sciences",1,"29"
"Brazilian Administration Review",1,"29"
"Department of Dermatology UC Davis",1,"29"
"Federal University of Tocantins",1,"29"
"Indian Geotechnical Society",1,"29"
"INMA BUCHAREST",1,"29"
"Instituto de Psicologia, Universidade de Brasília",1,"29"
"International Union for Circumpolar Health",1,"29"
"Iranian Society of Nephrology",1,"29"
"Johnson School at Cornell University",1,"29"
"Klinika Kardiologii CMKP",1,"29"
"National Science Foundation of Sri Lanka",1,"29"
"Pluto Journals",1,"29"
"Ramon Canto Alcaraz",1,"29"
"Universidad Catolica San Antonio Murcia",1,"29"
"WWF Verlagsgesellschaft mbH",1,"29"
"Beijing Institute for Cancer Research",1,"28"
"CAMD - Junta de Andalucía",1,"28"
"Croatian Anthropological Society",1,"28"
"Editions de l'Academie Roumaine",1,"28"
"Editora Cientifica Nacional Ltda",1,"28"
"Hanley and Belfus Inc.",1,"28"
"Humanity Publications",1,"28"
"Instituto de Investigaciones Agropecuarias, INIA",1,"28"
"International Council for Adult Education",1,"28"
"Istituto Nazionale di Oceanografia e di Geofisica Sperimentale",1,"28"
"Kemerovo State University",1,"28"
"Korean Chemical Society",1,"28"
"Korean Society for Biotechnology and Bioengineering",1,"28"
"Korean Society of Automotive Engineers",1,"28"
"Mahidol University (Siriraj Hospital)",1,"28"
"Microbiological Society of Korea",1,"28"
"Mycotaxon Ltd",1,"28"
"National League for Nursing",1,"28"
"National Postgraduate Medical College of Nigeria",1,"28"
