"Publishers","Journals"
"Société Française de Photogrammétrie et Télédétection",1
"Société Française de Minéralogie et de Cristallographie",1
"Socio-Legal Research Centre",1
"Società di Ortoflorofrutticoltura Italiana",1
"Società Italiana di Mineralogia e Petrologia",1
"Società Italiana di Fotogrammetria e Topografia",1
"Società Geologica Italiana",1
"Society of Vertebrate Paleontology",1
"Society of Teachers of Family Medicine (STFM)",1
"Society of Medical Biochemists of Serbia",1
"Society of Land Measurements and Cadastre from Transylvania",1
"Society of Hungarian Linguistics",1
"Society of Glass Technology",1
"Society of Economic Geologists",1
"Society of Dyers and Colourists",1
"Society of Diabetic Nephropathy Prevention",1
"Society of Clinical Psychology, (Division 12)",1
"Society of Chemists and Technologists of Macedonia",1
"Society of Chemical Engineers of Japan",1
"Society of Catholic Social Scientists",1
"Society of British Neurological Surgeons",1
"Society of Architectural Historians of Great Britain",1
"Society of Antiquaries of Scotland",1
"Society of Antiquarhttps://www.cnrs.fr/ies of London",1
"Society of American Archivists",1
"Society for the Study of Reproduction",1
"Society for the Study of French History",1
"Society for the Experimental Analysis of Behavior",1
"Society for Teaching and Learning in Higher Education",1
"Society for Sociological Science",1
"Society for Social Studies of Science",1
"Society for Seventeenth-Century French Studies",1
"Society for Scientific Exploration",1
"Society for Promotion of Horticulture",1
"Society for Participatory Medicine",1
"Society for Ming Studies",1
"Society for Materials and Structures Testing of Serbia",1
"Society for Longitudinal and Life Course Studies",1
"Society for Leukocyte Biology",1
"Society for Judgment and Decision Making",1
"Society for Indian Philosophy and Religion",1
"Society for In-Vitro Biology",1
"Society for Immunotherapy of Cancer",1
"Society for French Historical Studies",1
"Society for Ethnomusicology",1
"Society for Cultural Anthropology",1
"Society for Chaos Theory in Psychology and Life Sciences",1
"Society for Art History in Finland",1
"Society for Applied Spectroscopy",1
"Society for American City and Regional Planning History",1
"Society for Advancing Innovation and Research in Economy",1
"Societas Medicinae Sinensis",1
"Sociedade de Ciências Agrárias de Portugal",1
"Sociedade Portuguesa para o Estudo das Aves",1
"Sociedade Portuguesa de Reumatologia",1
"Sociedade Portuguesa de Radiologia e Medicina Nuclear",1
"Sociedade Portuguesa de Psiquiatria e Saúde Mental",1
"Sociedade Portuguesa de Pediatria",1
"Sociedade Portuguesa de Oftalmologia",1
"Sociedade Portuguesa de Nefrologia",1
"Sociedade Portuguesa de Matemática",1
"Sociedade Portuguesa de Geotecnia",1
"Sociedade Portuguesa de Gastrenterologia",1
"Sociedade Portuguesa de Anestesiologia",1
"Sociedade Paranaense de Matemática",1
"Sociedade Científica",1
"Sociedade Brasileira de Medicina de Família e Comunidade",1
"Sociedade Brasileira de Farmácia Hospitalar e Serviços de Saúde",1
"Sociedad Mexicana de Oftalmología",1
"Sociedad Mexicana de Criminología capítulo Nuevo León",1
"Sociedad Iberoamericana de Antropología Filosófica",1
"Sociedad Española de Mineralogía",1
"Sociedad Española de Literatura General y Comparada",1
"Sociedad Española de Farmacia Hospitalaria (SEFH)",1
"Sociedad Ecuatoriana de Pediatría - Núcleo de Quito",1
"Sociedad Cubana de Neurología y Neurocirugía",1
"Sociedad Cubana de Física",1
"Sociedad Argentina de Estudios Lingüísticos",1
"Sociedad Argentina de Botánica",1
"Sociedad Argentina de Análisis Filosófico",1
"Social and Political Science Faculty",1
"Social Psychology Section",1
"Smart Moves",1
"Slovensko zdravniško društvo",1
"Slovenian Chemical Society",1
"Slovak Academy of Sciences",1
"Slavica Publishers",1
"Skyfox Publishing Group",1
"Skopein",1
"SimSoc Consortium",1
"Sierra Journals Publisher",1
"Siberian State Medical University",1
"Siberian Institute of Plant Physiology and Biochemistry",1
"Shorenstein Center for Media, Politics, and Public Policy",1
"Shipping Research Centre",1
"Shenyang Pharmaceutical University",1
"Shefa Neuroscience Research Center",1
"Shaukat Khanum Memorial Trust",1
"Shanti Braj Educational and Welfare Society",1
"Shanghai Institute of Organic Chemistry",1
"Shahid Sadoughi University of Medical Sciences",1
"Servico de Psiquiatria",1
"Servicio de Publicaciones",1
"Serious Games Society",1
"Serbian Soil Science Society",1
"Serbian Sociological Association",1
"Serbian Society of Anesthesiologists and Intensivists",1
"Serbian Society for Rational Therapy in Medicine",1
"Serbian Resuscitation Council",1
"Serbian Pedagogical Society",1
"Serbian Medical Society - Section of General Practice, Belgrade",1
"Serbian Medical Society - Department of Emergency Medicine",1
"Serbian Medical Society - Dental Section",1
"Serbian Medical Society",1
"Serbian Marketing Association",1
"Serbian Chemical Society",1
"Serbian Association of Plant Breedings and Seed Producers",1
"Senj Museum Society",1
"Senj City Museum",1
"Sekolah Tinggi Teologi SAAT",1
"Seismological Society of China",1
"Sede Principal, Facultad de Ciencias Económicas, Administrativas y Contables",1
"Section of Power Industry and Resources Conservation",1
"Scuola di Specializzazione in Beni Storico-Artistici",1
"Scuola Normale Superiore - Edizioni della Normale",1
"Scuola Internazionale Superiore di Studi Avanzati (SISSA)",1
"Scuola Europea di Alti Studi Tributari",1
"Scottish Studies Foundation",1
"Scottish Economic Society",1
"Scottish Division of Educational Psychology",1
"Scottish Catholic Historical Association",1
"Scott Polar Research Institute",1
"Scienze e lettere",1
"Scientific Society of the Silicate Industry",1
"Scientific Society of Kafr El-Sheikk Doctors",1
"Scientific Medical Association of Moldova",1
"Scientific Institute of Food Technology",1
"Scientific Institute for Veterinary Medicine (Novi Sad)",1
"Science Museum Group",1
"Science Fiction Foundation",1
"Schweizerische Gesellschaft für Volkswirtschaft und Statistik",1
"Schweizerische Chemische Gesellschaft",1
"Schweizerische Asiengesellschaft",1
"Schulich School of Law",1
"Schools Health Education Unit",1
"School of Slavonic and East European Studies",1
"School of Psychology",1
"School of Political Science and International Studies",1
"School of Music",1
"School of Medicine",1
"School of Management",1
"School of Law",1
"School of Law",1
"School of Journalism, Media and Culture",1
"School of Humanities and Social Sciences",1
"School of Humanities and Social Science",1
"School of Humanities",1
"School of History, Philosophy, Religion and Classics",1
"School of History",1
"School of Environmental Design and Rural Development",1
"School of Education",1
"School of Education",1
"School of Dental Medicine",1
"School of Celtic Studies",1
"School of Arts & Humanities, Center for Translation Studies",1
"Scholastica",1
"Scandinavian Society for Biomaterials",1
"Savez ekonomista Srbije",1
"Saraseeruha Publications",1
"Sanda Voiculescu Departamentul Istoria <U+0219>i Teoria Arhitecturii si Conservarea Patrimoniului",1
"San Beda University",1
"Samara State Technical University",1
"Sam Houston State University in Texas",1
"Salomon Center for the Study of Financial Institutions",1
"Sakarya Üniversitesi",1
"Saint-Petersburg Research Institute of Radiation Hygiene after Professor P.V. Ramzaev",1
"Saint Petersburg University",1
"SPb RAACI",1
"SPEED",1
"SOLON",1
"SHESL",1
"SHARE Riviste",1
"SEDA",1
"SE Dnipropetrovsk Medical Academy",1
"SCONUL",1
"SCION",1
"SCAD Independent",1
"SBBq (Brazilian Society for Biochemistry and Molecular Biology)",1
"SATOR",1
"SAHkartelll",1
"ritish Psychotherapy Foundation",1
"Réseau de recherche en interventions en sciences infirmières du Québec",1
"Régi Magyar Irodalom Tanszék ELTE",1
"Russian State Vocational Pedagogical University",1
"Russian Research Institute of Economics, Politics and Law in Science and Technology",1
"Russian New University",1
"Russian Journal of Agricultural and Socio-Economic Sciences",1
"Russian Academy of Sciences, Siberian Branch",1
"Russian Academy of Medical Sciences",1
"Royal Society of Victoria",1
"Royal Scottish Geographical Society",1
"Royal New Zealand College of General Practitioners",1
"Royal Military College of Canada",1
"Royal Institute of British Architects (RIBA)",1
"Royal Conservatoire of Scotland",1
"Royal College of Surgeons of England",1
"Royal College of Surgeons of Edinburgh",1
"Royal College of Surgeons in Ireland",1
"Royal College of Speech and Language Therapists",1
"Royal College of Physicians of Edinburgh",1
"Royal College of Physicians and Surgeons of Glasgow",1
"Royal College of Pathologists of Australasia",1
"Royal College of Paediatrics and Child Health",1
"Royal College of Ophthalmologists",1
"Royal College of Occupational Therapists",1
"Royal College of Midwives (RCM)",1
"Royal Botanical Society of Belgium",1
"Royal Australian and New Zealand College of Radiologists",1
"Royal Australian and New Zealand College of Ophthalmologists",1
"Royal Australian and New Zealand College of Obstetricians and Gynaecologists",1
"Royal Australasian College of Surgeons",1
"Royal Australasian College of Physicians",1
"Royal Armouries",1
"Royal African Society",1
"Rotterdam University of Applied Sciences",1
"Rossiiskaya Akademiya Arkhitektury i Stroitel'nykh Nauk",1
"Roskilde Universitet",1
"Rosenstiel School of Marine and Atmospheric Science",1
"Romanian Society of Diabetes Nutrition and Metabolic Diseases",1
"River Publishers",1
"Riphah International University (Islamabad)",1
"Riphah International University (Faisalabad)",1
"Ringing Scheme",1
"Rila",1
"Revistas Universidad de León",1
"Revista del Cuerpo Médico del Hospital Nacional Almanzor Aguinaga Asenjo",1
"Revista de Estudios Latinos",1
"Revista de Administração, Sociedade e Inovação",1
"Revista Vertentes do Direito",1
"Revista Numismática Hécate",1
"Revista Limite",1
"Revista Iberoamericana de Educación",1
"Revista Currículo sem Fronteiras",1
"Revista Científica Estudiantil Inmedsur",1
"Rev Rene",1
"Resilience Alliance",1
"Research and Science Today",1
"Research School of Humanities & The Arts",1
"Research Foundation",1
"Research Centre for Forestry and Wood",1
"Research Center for China Industry-University-Research Institute Collaboration",1
"Rescience",1
"Registre de Dialyse Péritonéale de Langue Française",1
"Regionsenter for barn og unges psykiske helse (RBUP)",1
"Region Österreich-Schweiz (ROeS) der Internationalen Biometrischen Gesellschaft (IBS)",1
"Rede Brasileira de Informações Biológicas",1
"Red de Servicios Profesionales",1
"Recinto de Cupey",1
"Recinto de Ciencias Médicas",1
"Recerca i Innovació en Metodologies d'Aprenentatge",1
"Real Jardin Botanico",1
"Real Academia Española",1
"ReAttach Therapy International Foundation",1
"Rawalpindi Medical University",1
"Rapid Intellect",1
"Rakenteiden Mekanikan Seura ry (Finnish Association for Structural Mechanics)",1
"Rakennetun ympäristön tutkimuksen seura ry",1
"Rajagiri College of Social Sciences",1
"Rajagiri Business School",1
"Radioengineering Society",1
"Radical Philosophy Group",1
"Radical Philosophy Association",1
"RPPH Publishing House",1
"RIREA di Nobile Giovanna",1
"RILEM Technical Letters",1
"RCVS Knowledge",1
"RAND",1
"R and D Center for Post and ICT Resources and Equipments",1
"Quench Academy of Medical Education and Research",1
"Qubahan Organization for Development",1
"Quanta",1
"Qualitative Methods in Psychology Section",1
"Quaid-e-Awam University of Engineering, Science & Technology",1
"QUASAR",1
"Pædagogisk Filosofisk Forening",1
"Publshing House V.<U+0415><U+043C><U+0430>",1
"Publishing House",1
"Publishing Center Dialog",1
"Publikon Kiadó",1
"Psychotherapy Section",1
"Psychology of Women and Equalities Section",1
"Psychology of Sexualities Section",1
"Psychology Post Graduate Affairs Group",1
"Psychiatric Research Unit, Region Zealand",1
"Psikiyatride Guncel Yaklasimlar",1
"Project HOPE",1
"Prohominum",1
"Programmes de Bioethique",1
"Programa de Pós-Graduação em Semiótica e Linguística Geral",1
"Programa de Pós-Graduação em Integração da América Latin",1
"Programa de Pós-Graduação em História",1
"Programa de Pós-Graduação em Geografia",1
"Programa de Pós-Graduação em Ensino Tecnológico",1
"Programa de Pós-Graduação do Mestrado em História e Estudos Culturais",1
"Programa de Pós-Graduação Stricto Sensu em Arquitetura e Urbanismo",1
"Programa de Historia, Grupo de historia de la educación e identidad nacional",1
"Programa de Estudos Pós-Graduados",1
"Programa de Enfermería",1
"Program Studi Teknik Informatika",1
"Program Studi Pendidikan Agama Islam STAI Daruttaqwa Gresik",1
"Production and Operations Management Society",1
"Pro Pharma Communications International",1
"Prise de parole",1
"Princeton University",1
"Presses Universitaires de Provence",1
"Presses Universitaires de Nancy - Editions Universitaires de Lorraine",1
"Presses Agronomiques de Gembloux",1
"Premier Publishing",1
"Prehrambeno - tehnološki fakultet Osijek",1
"Prehistoric Society",1
"Pos Graduacao em Grupo de Estudos em Literatura Brasileira Contemporânea",1
"Portuguese Society of Dermatology and Venereology",1
"Popular Culture Association",1
"Pontificia Universidad Javeriana Cali",1
"Pontificia Universidad Católica del Perú",1
"Pontifica Universidad Catolica de Valparaiso",1
"Pompea College of Business, University of New Haven",1
"Polytechnic of Rijeka",1
"Polytechnic in Požega",1
"Polskie Towarzystwo Pedagogiczne",1
"Polskie Towarzystwo Neofilologiczne",1
"Polskie Towarzystwo Naukowe Silników Spalinowych",1
"Polskie Towarzystwo Matematyczne",1
"Polskie Towarzystwo Biochemiczne",1
"Polske Towarzystwo Gleboznawcze",1
"Polska Akademia Umiejetnosci",1
"Politikatudományi és Szociológiai Intézet",1
"Political Science Education Section",1
"Political Organizations and Parties Section",1
"Political Methodology Section",1
"Politektnik Pariwisata Medan",1
"Politechniki Poznanskiej, Wydzial Inzynierii Zarzadzania",1
"Police Section",1
"Polanyi Society",1
"Pohjois-Suomen Maantieteellinen Seura ry",1
"Pohjois-Suomen Historiallinen Yhdistys ry",1
"Plant Breeding and Acclimatization Institute - National Research Institute",1
"Phytotherapy Research Group",1
"Philosophy Learning and Teaching Organization",1
"Philosophical Society of Southern Africa",1
"Philosophical Readings",1
"Philosophical Problems of IT & Cyberspace",1
"Phi Delta Kappa International",1
"Pharmaceutical Association of Serbia",1
"PharmaTutor",1
"Pharma Health Sciences Scientific House",1
"Perkumpulan Alumni dan Santri Mahyajatul Qurro'",1
"Performance Philosophy",1
"Pepperdine University",1
"Peppedine University Libraries",1
"People & Global Business Association",1
"Pennsylvania Historical Association",1
"Peking University Cancer Hospital & Institute",1
"Pediatric Urology Case Reports",1
"Pediatric Oncall",1
"Pediatric Neurology Briefs Publishers",1
"Pavia University Press",1
"Paul Mellon Centre",1
"Patient Safety Authority",1
"Pascasarjana IAIN Purwokerto",1
"Param Engineering Academy and Research Laboratory (PEARL)",1
"Parafia Ewangelicko-Augsburska w Gdansku z siedziba w Sopocie",1
"Pandawan",1
"Pandawa Institute",1
"Pan-Canadian Health Reform Analysis Network",1
"Pamukkale University",1
"Palaeontographical Society",1
"Palacký University in Olomouc",1
"Paediatrics and Child Health Division",1
"Padmashree Dr. Vithalrao Vikhe Patil Foundation",1
"Pacific University",1
"Pacific Media Centre",1
"Pacific Coast Branch",1
"Pacific Affairs",1
"PNG Publications",1
"PERU",1
"P and R Engineering Consultancy Publication",1
"Oxford University Anthropological Society",1
"Oxford Uehiro Centre for Practical Ethics",1
"Oxford Internet Institute",1
"Oxford Centre for Mission Studies",1
"Oxford Centre for Islamic Studies",1
"Oxford Centre for Hindu Studies",1
"Oxford Centre for Hebrew and Jewish Studies",1
"Ottawa Field Naturalists Club",1
"Other Business",1
"Ortopedici Traumatologi Ospedalieri d'Italia",1
"Oriental Institute",1
"Organization for Transformative Works",1
"Ordem dos Médicos",1
"Orbit Publication",1
"Oral History Society",1
"Operations Research Society of South Africa",1
"Open Science Publishers LLP",1
"Open Scholarship of Teaching and Learning",1
"Open Journals",1
"Open Journal of Clinical and Medical Case Reports",1
"Open Gender Journal",1
"Open Access Library",1
"Online Journal of Health and Allied Sciences",1
"Omohundro Institute of Early American History and Culture",1
"Oklahoma State University",1
"Oklahoma Native Plant Society",1
"Odes'kyi Politechnichnyi Universytet",1
"Oceanography Society",1
"OberCom",1
"OVS LLC",1
"OAR Plaform",1
"nurtureuk",1
"Núcleo de Pesquisa e Extensão Observatório de Pesquisas Aplicadas ao Jornalismo e ao Ensino",1
"Núcleo de Estudos e Pesquisas em Ciências da Educação (NUEPCE)",1
"Núcleo de Espeleologi",1
"Nyelvtudományi és Finnugor Intézet",1
"Nursing Department",1
"Nucleo de Historia Social Popular",1
"Novi Sad School of Business",1
"Notyreg Hispania",1
"North West Counties Physical Education Association",1
"North American Primary Care Research Group (NAPCRG)",1
"Norske Legeforening (Norwegian Medical Association)",1
"Norsk arbeidsrettslig forening",1
"Norsk Sykepleierforbund",1
"Norsk Polarinstitutt",1
"Norsk Ornitologisk Forening",1
"Norsk Geologisk Forening",1
"Norsk Forening for Automatisering",1
"Norsk Arkeologisk Selskap",1
"Norges optikerforbund",1
"Norges geologiske undersøkelse",1
"Nordisk Organ for Reindriftsforskning (NOR)",1
"Nordic Society Oikos",1
"Nordic Open Access Scholarly Publishing",1
"Nordic Ecological Society",1
"Nineteenth-Century Art Worldwide",1
"Nigerian Cardiac Society",1
"Nicolaus Copernicus Public Provincial Library in Torun",1
"Newcomen Society",1
"Newcastle University",1
"New Zealand Medical Association",1
"New Zealand Manipulative Physiotherapy Association",1
"New Zealand Institute of Forestry",1
"New Zealand Ecological Society",1
"New York University",1
"New York State Teachers of English to Speakers of Other Languages",1
"New York Academy of Sciences",1
"New Proposals Publishing Society",1
"New Millennium Discoveries",1
"New Law Journal",1
"Neurama",1
"Network for the Veterinarians of Bangladesh",1
"Nautical Archaeology Society",1
"Natures Sciences Sociétés Dialogues",1
"National and Kapodistrian University of Athen",1
"National Youth Agency",1
"National University of Science and Technology MISiS",1
"National University of Political Studies and Public Administration",1
"National University of La Pampa",1
"National University Of Architecture And Construction Of Armenia",1
"National Research Nuclear University MEPhi",1
"National Philosophical Counseling Association",1
"National Medical Research Center of Rehabilitation and Balneology",1
"National Marine Fisheries Service",1
"National Institute of Environmental Health Sciences (NIEHS)",1
"National Economic Association",1
"National Center for the Study of Collective Bargaining in Higher Education and the Professions",1
"National Cave Research and Protection Organization",1
"National Cancer Institute",1
"National Athletic Trainers' Associaton",1
"National Association of Writers in Education",1
"National Association of Educators in Practice",1
"National Association for the Education of Young Children",1
"National Association for Sport and Physical Education",1
"National Association for Media Literacy Education",1
"National Academy of Sciences of the Republic of Armenia",1
"National Academy of Sciences",1
"Narr Francke Attempto Verlag",1
"Nanotechnology Council",1
"NOROSH",1
"NLA Høgskolen",1
"NKP Salve Institute of Medical Science and Research Center",1
"NACE International",1
"marcoELE revista de didáctica",1
"Más Vita",1
"Mycological Society of China",1
"Mycological Society of America",1
"MyJove Corporation",1
"Museum of New Zealand Te Papa Tongarewa",1
"Museo Nacional de Ciencias Naturales",1
"Multidisciplines",1
"Mount Saint Vincent University",1
"Moscow State Linguistic University",1
"Moscow Mathematical Society",1
"Montenegrosport",1
"Monte L Bean Life Science Museau",1
"Moldova State University",1
"Moise A Khayrallah Center for Lebanese Diaspora Studies",1
"Moffitt Cancer Center",1
"Modern Language Society of Helsinki",1
"Modern Language Association",1
"Mittelalter. Interdisziplinäre Forschung und Rezeptionsgeschichte",1
"Miroslav Krleža Institute of Lexicography",1
"Miranda",1
"Ministry of Interior of Hungary",1
"Ministerstvo Vnutrennikh Del Rossiiskoi Federatsii",1
"Minerva",1
"Mineralogical Association of Canada",1
"Mind Association",1
"Mimesis Edizioni",1
"Military Technical Institute",1
"Mihajlo Pupin Technical Faculty",1
"Midwest Public Affairs Conference",1
"Meteorological Society of Japan",1
"Mersin University",1
"Mendelian Society of Lund",1
"Mendel University",1
"Memorial University of Newfoundland",1
"Meise Botanic Garden",1
"Megatrend University",1
"Medicinal and Aromatic Plants Association of India (MAPAI)",1
"Medicina Clínica y Scoial",1
"Medical University of Plovdiv",1
"Medical Society of the Republic of Srpska",1
"Medical Association of Pharmacopuncture Institute",1
"Mediamusic",1
"MediaSphere Medical",1
"Media- ja viestintätieteellinen seura Mevi",1
"Mechanical Engineering Department",1
"MechAero Foundation for Technical Research & Education Excellence",1
"McMaster University",1
"McKenzie Institute USA",1
"McGill University",1
"Malopolska School of Public Administration, University of Economics in Krakow",1
"MayDay Group",1
"Max-Planck-Institut für europäische Rechtsgeschichte",1
"Mattioli1885",1
"Mathematica Scandinavica",1
"Masyarakat Linguistik Indonesia",1
"Maryland Psychiatric Research Center",1
"Maryland Institute of Research, Center for Socio-Economic Research",1
"Marquette University Press",1
"Marp Edizioni",1
"Marine Technology Society",1
"Marine Institute",1
"Marine Biological Laboratory",1
"Manitoba Historical Society",1
"Management Information Systems Research Center",1
"Managed Care & Healthcare Communications",1
"Malaysian Online Journal of Educational Technology",1
"Malacological Society of London",1
"Magyarhoni Földtani Társulat",1
"Magyar Természettudományi Múzeum",1
"Magyar Onkológusok Társasága",1
"Magyar Kommunikációtudományi Társaság",1
"Magyar Fogorvosok Egyesülete",1
"Macedonian Scientific Society for Autism",1
"Macedonian Academy of Sciences and Arts (MASA)",1
"MTA-DE Public Service Research Group",1
"MTA KRTK Regionális Kutatások Intézete",1
"MEPTIC",1
"Lægeforeningen",1
"Lunds universitets",1
"LumiText Publishing",1
"Ludovít Štúr Institute of Linguistics",1
"Ludovit Stur Institute of Linguistics",1
"Lucian Blaga University of Sibiu",1
"Loughborough University",1
"London Academy of Science and Business",1
"Lomonosov Moscow State University",1
"Logical Methods in Computer Science",1
"Lo Sguardo",1
"Little Bay Publishers",1
"Litinfinite Journal",1
"Lithuanian Society of Biological Psychiatry",1
"Lithuanian Academy of Sciences",1
"Literary Geographies",1
"Literary Dictionary Company",1
"Lindbergia",1
"Life Science Alliance",1
"Lien social et Politiques",1
"Library and Information Technology Services",1
"Library and Information Technology Association",1
"Library Student Journal",1
"Library Leadership and Management Association",1
"Library & Information Research Group",1
"Lextenso",1
"Les Presses de l'Université de Montréal",1
"Ler História - Associação de Actividade Científica",1
"Lepra",1
"Leiden University Press",1
"Leibniz-Zentrum für Agrarlandschaftsforschung",1
"Left Coast Press",1
"Leddy Library",1
"Lawrence Wishart",1
"Law and Courts Organized Section",1
"Law Review Society",1
"Law Review Association",1
"Latin American Studies Association (LASA)",1
"Latin American Center",1
"Lasting Impressions Press",1
"Laser Institute of America",1
"Language Learning Research Club",1
"Laboratório de Avaliação Psicológica e Psicometria (PsyAssessmentLab)",1
"Laboratoire Mosaïques",1
"La Ponte-Ecomuséu",1
"LSE Press",1
"LIBER",1
"LDPM Universitas Cokroaminoto Yogyakarta",1
"Kuratorium fur Technik und Bauwesen in der Landwirtschaft (KTBL)",1
"Kunnallistieteen yhdistys",1
"Kulturní studia",1
"Koya University",1
"Kotikielen Seura",1
"Korean Society of Pathologists",1
"Korean Society of Food Science and Nutrition (<U+D55C><U+AD6D><U+C2DD><U+D488><U+C601><U+C591><U+ACFC><U+D559><U+D68C>)",1
"Korean Society of Epidemiology",1
"Korean Society for Molecular and Cellular Biology",1
"Korean Society for Cytopathology",1
"Korean Pharmacopuncture Institute",1
"Korean Pediatric Society",1
"Korean Institute of Electrical Engineers",1
"Korean Association for the Study of Intestinal Diseases",1
"Korean Academy of Medical Sciences",1
"Korean Academy of Child and Adolescent Psychiatry",1
"Korea Institute of Science and Technology Information (KISTI)",1
"Korea Institute for International Economic Policy (KIEP)",1
"Korea Health Personnel Licensing Examination Institute",1
"Kolegji Universitar Bedër",1
"King Faisal Specialist Hospital and Research Centre",1
"Kiel Institute for the World Economy",1
"Kharkiv State Academy of Physical Culture",1
"Kegley Institute of Ethics",1
"Kassel University Press",1
"Kashmir University",1
"Kaplan Singapore",1
"Kansanvalistusseura (KVS)",1
"Kairos",1
"Kairali Society of Oral and Maxillofacial Pathologists",1
"Kafkas University",1
"KARE Publishing",1
"KAD International",1
"Just Medical Media",1
"Juliusz Schauder Centre for Nonlinear Studies",1
"Jules Verne Forum",1
"Journal of Construction Materials",1
"Journal of the Northern Renaissance",1
"Journal of the Dow University of Health Sciences",1
"Journal of Southern Religion",1
"Journal of Social History",1
"Journal of Rheumatology",1
"Journal of Radical Librarianship",1
"Journal of Pure and Applied Microbiology",1
"Journal of Philosophy",1
"Journal of Orthopaedic and Sports Physical Therapy",1
"Journal of Natural Products",1
"Journal of Machine Learning Research",1
"Journal of Latin Cosmopolitanism and European Literatures",1
"Journal of Investment Management",1
"Journal of Ideas in Health",1
"Journal of Historical Syntax",1
"Journal of Hebrew Scriptures",1
"Journal of Ecological Anthropology",1
"Journal of Design for Resilience in Architecture and Planning",1
"Journal of Childhood, Education and Society",1
"Journal of Bone and Joint Surgery, Inc",1
"Journal of Aquaculture Engineering and Fisheries Research",1
"Journal of Applied Pharmaceutical Science",1
"Journal of Applied Learning & Teaching",1
"Journal for the Psychology of Language Learning",1
"Journal for Deradicalization",1
"Jordan Publishing",1
"Joint Research Group for the Study of Post-Mediæval Scholasticism",1
"Joint Implant Surgery and Research Foundation",1
"Johnson Matthey",1
"Johannelunds teologiska högskola",1
"Johann Heinrich von Thünen-Institut",1
"Jeunesse: Young People, Texts, Cultures",1
"Jesenski & Turk Publishing House",1
"Jaypee Brothers Medical Publishers",1
"Japanese Society of Radiological Technology",1
"Japanese Society of Plant Physiologists",1
"Japanese Society for Virology",1
"Japanese Society for Neuroimmunology",1
"Japanese Society for Immunology",1
"Japanese Society for Host Defense Research",1
"Japanese Society for Bacteriology",1
"Japanese Group Dynamics Association",1
"Japanese Biochemical Society",1
"Japanese Association for Acute Medicine",1
"Japan Welding Engineering Society",1
"Japan Sociological Society",1
"Japan Society of Medical Physics",1
"Japan Society for Endoscopic Surgery",1
"Japan Society for Bioscience, Biotechnology, and Agrochemistry",1
"Japan Geriatrics Society",1
"Japan Geoscience Union",1
"Japan Ethological Society",1
"Japan Esophageal Society",1
"Japan Epidemiological Association",1
"Japan Diabetes Society",1
"Japan Association of Simulation and Gaming (JASAG)",1
"Japan Association of International Relations",1
"Japan Antibiotics Research Association",1
"Japan Academy of Nursing Science",1
"Jacobs Verlag",1
"JOMENAS Press",1
"JD Sauerlaender's Verlag",1
"Italian Competition Authority",1
"Istituto Superiore di Sanità",1
"Istituto Italiano di Cultura Barcellona",1
"Istituto Italiano di Antropologia",1
"Israel Chemical Society",1
"Isra University",1
"Islamic Research and Training Institute",1
"Islamic Azad University, Shahreza Branch",1
"Islamic Azad University, Najafabad Branch",1
"Iron and Steel Institute of Japan",1
"Irish Society of Chartered Physiotherapists",1
"Irish Learning Technology Association",1
"Irish Historical Society",1
"Irish College of Paramedics",1
"Irish Association for Applied Linguistics",1
"Iranian Veterinary Surgery Association",1
"Iranian Red Crescent Medical Journal",1
"Iranian Journal of Health, Safety and Environment",1
"Inzenjersko Drustvo za koroziju",1
"Investigaciones y Estudios Superiores S.C.",1
"Intituto Moll Centro de investigación en Pintura Flamenca",1
"Interregional Institute for Spatial Development",1
"International Journal of Asian Education",1
"International Virtual Ophthalmic Research Center",1
"International University of Sarajevo",1
"International Union of Pure and Applied Chemistry",1
"International Trade Institute",1
"International TESOL Union",1
"International Society of Nutrigenetics/Nutrigenomics",1
"International Society of Global Health",1
"International Society for the Scholarship of Teaching and Learning (ISSOTL)",1
"International Society for the Advancement of Spine Surgery (ISASS)",1
"International Society for Stereology",1
"International Society for Human and Animal Mycology",1
"International Society for Cellular Therapy",1
"International Society for Bayesian Analysis (ISBA)",1
"International Social Security Association",1
"International Shari'ah Research Academy for Islamic Finance",1
"International Section",1
"International Retrovirology Association",1
"International Research: Journal of Library and Information",1
"International Pragmatics Association (IPrA)",1
"International Phycological Society",1
"International Mountain Society (IMS)",1
"International Long Term Care Policy Network",1
"International Language and Law Association",1
"International Journal of Žižek Studies",1
"International Journal of Trend in Scientific Research and Development",1
"International Journal of Scientific Footprints",1
"International Journal of Multicultural and Multireligious Understanding",1
"International Journal of Management, Accounting and Economics",1
"International Journal of Interdisciplinary and Multidisciplinary Studies",1
"International Journal of Engineering, Social Justice, and Peace",1
"International Journal of Engineering Science Invention",1
"International Journal of Cyber Criminology",1
"International Journal of Crime Justice and Social Democracy",1
"International Journal for Pharmaceutical Research Scholars (IJPRS)",1
"International Institute for the Science of Sintering",1
"International Heart Journal Association",1
"International Gothic Association",1
"International Forum of Educational Technology and Society",1
"International Energy and Environment Foundation",1
"International Criminalistic Association",1
"International Council for Research and Innovation in Building and Construction",1
"International Council for Open and Distance Education (ICDE)",1
"International Committee on Systematics of Prokaryotes",1
"International Committee of the Red Cross",1
"International Colour Association",1
"International Centre for Transactional Analysis Qualifications - Community Interest Company",1
"International Centre for Sustainable Development of Energy, Water and Environment Systems",1
"International Centre for Eye Health",1
"International Center of Mental Health Policy and Economics",1
